attempt	suite	status	full_name
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should save a conversation for an authenticated user
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo rejects actor checkpoint ownership evidence through ordinary saves and imports
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo sets immutable agent attribution from server metadata only on insert
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo stores explicit null attribution for a new non-agent conversation
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should query messages when saving a conversation
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should handle newConversationId when provided
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo refreshes project stats when archiving a project conversation
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo bulkSaveConvos keeps owned project ids and strips orphan ones
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo bulkSaveConvos strips supplied attribution and stores explicit null on insert
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo refreshes both projects when a save moves a conversation between them
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo bulkSaveConvos refreshes the project a conversation leaves
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should not create a conversation when noUpsert is true and conversation does not exist
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should update an existing conversation when noUpsert is true
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should still upsert by default when noUpsert is not provided
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should handle unsetFields metadata
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo should set createdAt from metadata only on insert
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserves insert defaults and suppressed timestamps for an archive pipeline upsert
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt leaves updatedAt untouched across an archive and unarchive round trip
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt keeps the original archivedAt when the chat is already archived
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt archives with plain update operators rather than an aggregation pipeline
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt does not report a missing chat when an unarchive splits the archive writes
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt does not report a missing chat when every archive retry is split
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt stamps again when unarchive lands before a pending repeated archive write
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt stamps archivedAt on the first archive when the caller omits it
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt clears archivedAt on unarchive when the caller omits it
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt does not drag a project pointer back when only metadata changes
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt keeps updatedAt through the retention backfill
01-data-schemas	packages/data-schemas/src/methods/conversation.spec.ts	passed	Conversation Operations saveConvo preserveUpdatedAt still bumps updatedAt for an ordinary save
